id,age_group_det,pop,deaths,f_age
03155,ALT025B30,6622,2,25
03155,ALT030B35,6348,1,30
03155,ALT035B40,6767,8,35
03155,ALT040B45,7209,19,40
03155,ALT045B50,10414,19,45
03155,ALT050B55,12048,45,50
03155,ALT055B60,11292,71,55
03155,ALT060B65,9658,96,60
03155,ALT065B70,8644,122,65
03155,ALT070B75,6312,138,70
03155,ALT075B80,8261,280,75
03155,ALT080B85,5402,329,80
03155,ALT085UM,4727,763,85
03157,ALT000,1264,5,0
03157,ALT001B05,4867,1,1
03157,ALT005B10,6101,0,5
03157,ALT010B15,6620,2,10
03157,ALT015B20,7668,0,15
03157,ALT020B25,6632,1,20
03157,ALT025B30,6609,6,25
03157,ALT030B35,6975,7,30
03157,ALT035B40,7615,3,35
03157,ALT040B45,8008,9,40
03157,ALT045B50,11318,30,45
03157,ALT050B55,12289,40,50
03157,ALT055B60,10250,68,55
03157,ALT060B65,8462,89,60
03157,ALT065B70,7345,107,65
03157,ALT070B75,5814,134,70
03157,ALT075B80,6989,256,75
03157,ALT080B85,4395,285,80
03157,ALT085UM,3758,577,85
03158,ALT000,982,1,0
03158,ALT001B05,3859,0,1
03158,ALT005B10,4963,1,5
03158,ALT010B15,5480,0,10
03158,ALT015B20,6777,0,15
03158,ALT020B25,6343,4,20
03158,ALT025B30,6238,1,25
03158,ALT030B35,6099,8,30
03158,ALT035B40,6445,6,35
03158,ALT040B45,6766,8,40
03158,ALT045B50,10057,25,45
03158,ALT050B55,11193,45,50
03158,ALT055B60,9681,54,55
03158,ALT060B65,7997,72,60
03158,ALT065B70,7281,107,65
03158,ALT070B75,5933,160,70
03158,ALT075B80,7195,219,75
03158,ALT080B85,4169,249,80
03158,ALT085UM,3446,558,85
03159,ALT000,2918,12,0
03159,ALT001B05,10354,1,1
03159,ALT005B10,13027,3,5
03159,ALT010B15,13856,0,10
03159,ALT015B20,17356,3,15
03159,ALT020B25,22895,5,20
03159,ALT025B30,23178,8,25
03159,ALT030B35,19596,7,30
03159,ALT035B40,17496,16,35
03159,ALT040B45,17477,26,40
03159,ALT045B50,23531,53,45
03159,ALT050B55,26709,103,50
03159,ALT055B60,24869,151,55
03159,ALT060B65,21145,187,60
03159,ALT065B70,18932,266,65
03159,ALT070B75,14966,320,70
03159,ALT075B80,17599,599,75
03159,ALT080B85,11077,630,80
03159,ALT085UM,10084,1604,85
03241,ALT000,11486,31,0
03241,ALT001B05,42281,6,1
03241,ALT005B10,51270,4,5
03241,ALT010B15,50580,1,10
03241,ALT015B20,57306,25,15
03241,ALT020B25,68632,23,20
03241,ALT025B30,78203,23,25
03241,ALT030B35,75435,28,30
03241,ALT035B40,72449,55,35
03241,ALT040B45,69259,105,40
03241,ALT045B50,87196,219,45
03241,ALT050B55,94441,377,50
03241,ALT055B60,81132,484,55
03241,ALT060B65,67947,630,60
03241,ALT065B70,59883,849,65
03241,ALT070B75,51256,1120,70
03241,ALT075B80,60882,1849,75
03241,ALT080B85,37237,1991,80
03241,ALT085UM,31825,4656,85
03251,ALT000,1939,11,0
